station_id,date,t_min,t_max,t_mean
IUNG1,2025-01-02,0.0,8.0,4.0
IUNG1,2025-01-03,-1.5,2.7,0.6
IUNG1,2025-01-04,-7.2,0.0,-3.6
IUNG1,2025-01-05,-6.4,-1.1,-3.75
IUNG1,2025-01-06,-1.8,5.6,1.9
IUNG1,2025-01-07,2.5,6.4,4.45
IUNG1,2025-01-08,-1.5,3.1,0.8
IUNG1,2025-01-09,-0.8,7.0,3.1
IUNG1,2025-01-10,0.0,7.6,3.8
IUNG1,2025-01-11,-1.3,0.7,-0.3
IUNG1,2025-01-12,-1.1,0.4,-0.35
IUNG1,2025-01-13,-3.1,0.0,-1.55
IUNG1,2025-01-14,-4.4,0.1,-2.15
IUNG1,2025-01-15,-0.1,1.2,0.55
IUNG1,2025-01-16,0.5,1.4,0.95
IUNG1,2025-01-17,0.0,3.7,1.85
IUNG1,2025-01-18,-1.2,7.3,3.05
IUNG1,2025-01-19,-1.8,0.7,-0.55
IUNG1,2025-01-20,-2.5,6.9,2.2
IUNG1,2025-01-21,-1.5,2.6,0.55
IUNG1,2025-01-22,-0.7,3.3,1.3
IUNG1,2025-01-23,-1.6,4.3,1.35
IUNG1,2025-01-24,-0.2,5.4,2.6
IUNG1,2025-01-25,0.0,8.0,4.0
IUNG1,2025-01-26,0.0,10.2,5.1
IUNG1,2025-01-27,2.6,11.7,7.15
IUNG1,2025-01-28,2.5,10.9,6.7
IUNG1,2025-01-29,0.0,11.2,5.6
IUNG1,2025-01-30,0.8,12.6,6.7
IUNG1,2025-01-31,-0.2,8.7,4.25
IUNG1,2025-02-01,0.0,3.7,1.85
IUNG1,2025-02-02,-2.3,1.7,-0.3
IUNG1,2025-02-03,-4.9,1.5,-1.7
IUNG1,2025-02-04,-0.5,3.9,1.7
IUNG1,2025-02-05,-2.7,5.6,1.45
IUNG1,2025-02-06,-1.9,2.1,0.1
IUNG1,2025-02-07,-3.5,0.4,-1.55
IUNG1,2025-02-08,-4.1,0.1,-2.0
IUNG1,2025-02-09,-5.5,0.9,-2.3
IUNG1,2025-02-10,-8.3,2.3,-3.0
IUNG1,2025-02-11,-8.5,0.0,-4.25
IUNG1,2025-02-12,-8.1,0.7,-3.7
IUNG1,2025-02-13,-7.8,4.9,-1.45
IUNG1,2025-02-14,-4.5,0.0,-2.25
IUNG1,2025-02-15,-6.8,-1.4,-4.1
IUNG1,2025-02-16,-11.4,0.0,-5.7
IUNG1,2025-02-17,-14.6,0.0,-7.3
IUNG1,2025-02-18,-13.3,0.0,-6.65
IUNG1,2025-02-19,-7.1,-0.5,-3.8
IUNG1,2025-02-20,-7.5,0.7,-3.4
IUNG1,2025-02-21,-8.2,3.0,-2.6
IUNG1,2025-02-22,-5.7,5.1,-0.3
IUNG1,2025-02-23,-3.4,6.0,1.3
IUNG1,2025-02-24,0.0,3.8,1.9
IUNG1,2025-02-25,0.0,8.7,4.35
IUNG1,2025-02-26,0.0,8.2,4.1
IUNG1,2025-02-27,0.0,11.1,5.55
IUNG1,2025-02-28,0.0,6.1,3.05
IUNG1,2025-03-01,-1.6,5.5,1.95
IUNG1,2025-03-02,0.0,1.7,0.85
IUNG1,2025-03-03,1.6,7.2,4.4
IUNG1,2025-03-04,0.0,11.1,5.55
IUNG1,2025-03-05,0.0,15.8,7.9
IUNG1,2025-03-06,0.0,18.9,9.45
IUNG1,2025-03-07,1.9,18.5,10.2
IUNG1,2025-03-08,-1.5,19.1,8.8
IUNG1,2025-03-09,-0.6,18.7,9.05
IUNG1,2025-03-10,0.0,20.5,10.25
IUNG1,2025-03-11,0.0,16.0,8.0
IUNG1,2025-03-12,0.0,18.1,9.05
IUNG1,2025-03-13,2.8,13.8,8.3
IUNG1,2025-03-14,0.0,6.2,3.1
IUNG1,2025-03-15,-2.5,3.5,0.5
IUNG1,2025-03-16,-5.3,7.4,1.05
IUNG1,2025-03-17,-4.9,3.3,-0.8
IUNG1,2025-03-18,-7.0,6.3,-0.35
IUNG1,2025-03-19,-2.5,10.3,3.9
IUNG1,2025-03-20,-3.0,14.1,5.55
IUNG1,2025-03-21,-1.8,15.3,6.75
IUNG1,2025-03-22,0.5,15.2,7.85
IUNG1,2025-03-23,0.0,12.2,6.1
